Year	Vol	Source	OCR	Ref	ID	Pages	Tokens
1821	1_2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502082	bsb10502082	682	630387
1821	3_4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502083	bsb10502083	710	658995
1821	5	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502084	bsb10502084	586	561879
1822	1_2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502085	bsb10502085	690	645880
1823	1_2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502087	bsb10502087	684	637377
1823	3_4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502088	bsb10502088	694	648736
1823	5	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502089	bsb10502089	586	567563
1825	1_2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502091	bsb10502091	680	636008
1825	3_4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502092	bsb10502092	696	649679
1825	5	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502093	bsb10502093	618	605318
1826	1_2	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502094	bsb10502094	702	653185
1826	3_4	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502095	bsb10502095	700	629747
1826	5	Bavarian State Library	Google (internal)	https://app.digitale-sammlungen.de/bookshelf/bsb10502096	bsb10502096	626	607049
1827	1	Indiana University Library	Google (internal)	https://books.google.de/books?id=NtXjAAAAMAAJ	gb_NtXjAAAAMAAJ	465	430733
1827	2	Indiana University Library	Google (internal)	https://books.google.de/books?id=nNXjAAAAMAAJ	gb_nNXjAAAAMAAJ	449	413342
1827	4	Indiana University Library	Google (internal)	https://books.google.de/books?id=3tTjAAAAMAAJ	gb_3tTjAAAAMAAJ	619	609696
1828	1	Library of the University of Oxford	Google (internal)	https://books.google.de/books?id=8ocFAAAAQAAJ	gb_8ocFAAAAQAAJ	463	418163
1828	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=ZTQ4AAAAMAAJ	gb_ZTQ4AAAAMAAJ	451	428267
1828	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=zDQ4AAAAMAAJ	gb_zDQ4AAAAMAAJ	507	474931
1828	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=uBU4AAAAMAAJ	gb_uBU4AAAAMAAJ	579	549206
1829	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=SzA4AAAAMAAJ	gb_SzA4AAAAMAAJ	347	339532
1829	3	Library of University of California	Google (internal)	https://books.google.de/books?id=BM-EAAAAIAAJ	gb_BM-EAAAAIAAJ	359	358239
1829	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=bBc4AAAAMAAJ	gb_bBc4AAAAMAAJ	587	569917
1829	5	Library of University of California	Google (internal)	https://books.google.de/books?id=BdCEAAAAIAAJ	gb_BdCEAAAAIAAJ	537	453032
1829	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=1S84AAAAMAAJ	gb_1S84AAAAMAAJ	349	332462
1830	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=aDI4AAAAMAAJ	gb_aDI4AAAAMAAJ	349	331972
1830	2	Library of University of California	Google (internal)	https://books.google.de/books?id=ldCEAAAAIAAJ	gb_ldCEAAAAIAAJ	345	330197
1830	3	Oxford University	Google (internal)	https://books.google.de/books?id=sogFAAAAQAAJ	gb_sogFAAAAQAAJ	377	361259
1830	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=NjQ4AAAAMAAJ	gb_NjQ4AAAAMAAJ	581	556636
1830	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=xTQ4AAAAMAAJ	gb_xTQ4AAAAMAAJ	427	352820
1831	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=8Bo4AAAAMAAJ	gb_8Bo4AAAAMAAJ	351	329352
1831	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=ZRs4AAAAMAAJ	gb_ZRs4AAAAMAAJ	347	327323
1831	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=6Bs4AAAAMAAJ	gb_6Bs4AAAAMAAJ	375	361017
1831	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=lxw4AAAAMAAJ	gb_lxw4AAAAMAAJ	491	463413
1831	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=BB04AAAAMAAJ	gb_BB04AAAAMAAJ	355	283361
1832	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Wx04AAAAMAAJ	gb_Wx04AAAAMAAJ	349	326835
1832	2	Library of the University of Oxford	Google (internal)	https://books.google.de/books?id=EYkFAAAAQAAJ	gb_EYkFAAAAQAAJ	347	320564
1832	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=cR44AAAAMAAJ	gb_cR44AAAAMAAJ	377	366189
1832	4_5	Library of Princeton University	Google (internal)	https://books.google.de/books?id=GCBRAAAAYAAJ	gb_GCBRAAAAYAAJ	833	725311
1833	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=9h84AAAAMAAJ	gb_9h84AAAAMAAJ	333	316939
1833	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=4yA4AAAAMAAJ	gb_4yA4AAAAMAAJ	367	358727
1833	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=mSE4AAAAMAAJ	gb_mSE4AAAAMAAJ	499	473217
1833	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=JSI4AAAAMAAJ	gb_JSI4AAAAMAAJ	427	339510
1833	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=aiA4AAAAMAAJ	gb_aiA4AAAAMAAJ	331	315790
1834	1	Library of the University of Oxford	Google (internal)	https://books.google.de/books?id=HYoFAAAAQAAJ	gb_HYoFAAAAQAAJ	333	313107
1834	2	Library of the University of Oxford	Google (internal)	https://books.google.de/books?id=wokFAAAAQAAJ	gb_wokFAAAAQAAJ	330	308213
