Year	Volume	Source	XML URL	Pages	Tokens
1803	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502029.xml	708	677549
1803	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502030.xml	700	681439
1803	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502031.xml	636	600964
1803	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502032.xml	558	530703
1804	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502033.xml	670	640451
1804	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502034.xml	642	615006
1804	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502035.xml	612	584233
1804	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502036.xml	630	602062
1805	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502037.xml	586	561440
1805	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502038.xml	638	618593
1805	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502039.xml	572	563056
1805	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502040.xml	558	542175
1806	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502041.xml	548	531471
1806	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502042.xml	500	485168
1806	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502043.xml	550	537054
1806	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502044.xml	422	415163
1807	1	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_t9fjAAAAMAAJ.xml	440	445494
1807	2	New York Public Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter297unkngoog.xml	675	720365
1807	3_4	Princeton University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_MSlRAAAAYAAJ.xml	1056	1027245
1808	1	New York Public Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter152unkngoog.xml	539	542453
1808	3	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_ogs4AAAAMAAJ.xml	596	603804
1808	4	unknown library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_Pww4AAAAMAAJ.xml	634	616683
1809	3	New York Public Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter186unkngoog.xml	534	549669
1809	4	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_XdzjAAAAMAAJ.xml	662	666765
