bub_gb_sBE4AAAAMAAJ	1810	1	University of Michigan	Tesseract 4.0
bub_gb_t9fjAAAAMAAJ	1807	1	Indiana University	Tesseract 4.0
bub_gb_Wx04AAAAMAAJ	1832	1	University of Michigan	Tesseract 4.0
allgemeineliter46unkngoog	1842	1_2	University of Michigan	Tesseract 4.0
bub_gb_ByBRAAAAYAAJ	1809	1_2	Princeton University	Tesseract 4.0
bub_gb_-hk4AAAAMAAJ	1841	1_2	University of Michigan	Tesseract 4.0
allgemeineliter355unkngoog	1839	1_2_3	Oxford University	Tesseract 4.0
bub_gb__ClRAAAAYAAJ	1836	1_2_3	Princeton University	Tesseract 4.0
bub_gb_gR5RAAAAYAAJ	1849	1_2_3	Princeton University	Tesseract 4.0
allgemeineliter64unkngoog	1829	2	University of Michigan	Tesseract 4.0
allgemeineliter77unkngoog	1846	2	New York Public Library	Tesseract 4.0
allgemeineliter96unkngoog	1838	2	University of Michigan	Tesseract 4.0
allgemeinelitera1847unse	1847	2	University of Illinois Urbana-Champaign	Tesseract 4.0
bub_gb_Fy9RAAAAYAAJ	1844	2	Princeton University	Tesseract 4.0
bub_gb_NhI4AAAAMAAJ	1810	2	University of Michigan	Tesseract 4.0
bub_gb_nNXjAAAAMAAJ	1827	2	Indiana University	Tesseract 4.0
bub_gb_quXjAAAAMAAJ	1824	2	Indiana University	Tesseract 4.0
bub_gb_s4crAAAAYAAJ	1845	2	Harvard University	Tesseract 4.0
bub_gb_wokFAAAAQAAJ	1834	2	Oxford University	Tesseract 4.0
bub_gb_ZRs4AAAAMAAJ	1831	2	University of Michigan	Tesseract 4.0
bub_gb_ZTQ4AAAAMAAJ	1828	2	University of Michigan	Tesseract 4.0
allgemeineliter16unkngoog	1831	3	University of Michigan	Tesseract 4.0
allgemeineliter55unkngoog	1838	3	University of Michigan	Tesseract 4.0
allgemeineliter82unkngoog	1835	3	University of Michigan	Tesseract 4.0
bub_gb_cR44AAAAMAAJ	1832	3	University of Michigan	Tesseract 4.0
bub_gb_fSM4AAAAMAAJ	1834	3	University of Michigan	Tesseract 4.0
bub_gb_ogs4AAAAMAAJ	1808	3	University of Michigan	Tesseract 4.0
bub_gb_rzA4AAAAMAAJ	1840	3	University of Michigan	Tesseract 4.0
bub_gb_uhE4AAAAMAAJ	1824	3	University of Michigan	Tesseract 4.0
