bsb10628808	00014	98	und der Einbildungskraft eine Zuſammenſtimmung im	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00014	100	die Beſchräuktheit der Einbildungskraft der praktiſchen	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00014	102	daſs das Gebundenſeyn der Einbildungskraft an die Sinn-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00014	107	ſchränkten Einbildungskraft, und dem Bewuſstſeyn des	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00014	111	Beſchäftigung der Einbildungskraft: alſo hat jenes Ur-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/14/view
bsb10628808	00015	21	ſchen Einbildungskraft und Verſtand gegründet, und al-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/15/view
bsb10628808	00015	100	ſchäftigung der Einbildungskraft, die durch ſich ſelbſt	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/15/view
bsb10628808	00015	106	Beſchauen des Werkes beſchäftigte Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/15/view
bsb10628808	00016	52	iſt eine Vorſtellung der Einbildungskraft, die eine Men-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/16/view
bsb10628808	00016	95	ſchöne Kunſt mit dem freyen Spiele der Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/16/view
bsb10628808	00016	107	nunft als ein Spiel der Einbildungskraft, inwiefern er	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/16/view
bsb10628808	00016	109	ken ſtrebt. Jener treibt das Spiel der Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/16/view
bsb10628808	00017	19	der Einbildungskraft in der Beſchauung der Geſtalten	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/17/view
bsb10628808	00017	114	die in der Einbildungskraft ſcheinbar ſich darſtellenden	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/17/view
bsb10628808	00018	35	gedacht wird, welches die Einbildungskraft be der	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/18/view
bsb10628808	00018	49	mung zwiſchen den Vermögen der Einbildungskraft und	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/18/view
bsb10628808	00018	61	der mit der Anſchauung beſchäftigten Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/18/view
bsb10628808	00018	67	menſtimmung der mit ſeiner Geſtalt beſchäftigten Einbildungskraft zum Verſtande, als zweckmäſsig einge-	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/18/view
bsb10628808	00018	106	frey en Uebereinſtimmung, – beym Schönen der Einbildungskraft mit dem Verſtande, – beym Sittlich guten	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/18/view
bsb10628808	00026	68	Piriſcher Gröſsen, die in ihrer Ünangemeſſenheit zur Einbildungskraft – mit der lernunft bey der Erhabenheit	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/26/view
bsb10628808	00137	31	„menkunft zerſtören oft ſchleunig der Einbildungskraft	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10628808/canvas/137/view
